,Cost,Cured,IndefiniteControl,InitialTumourSize,NCycles,RelTimeGained,SFrac,TimeGained,TimeToFailure,TreatmentBranch,Turnover
0,0.0,False,False,0.25,,,0.9,,105.45454545454545,MTD,0.0
1,0.0,False,False,0.25,0.0,0.0,0.9,0.0,105.45454545454545,0.5,0.0
0,0.05,False,False,0.25,,,0.9,,111.77777777777777,MTD,0.0
1,0.05,False,False,0.25,0.0,0.0,0.9,0.0,111.77777777777777,0.5,0.0
0,0.1,False,False,0.25,,,0.9,,118.77777777777777,MTD,0.0
1,0.1,False,False,0.25,0.0,0.0,0.9,0.0,118.77777777777777,0.5,0.0
0,0.15000000000000002,False,False,0.25,,,0.9,,126.57575757575758,MTD,0.0
1,0.15000000000000002,False,False,0.25,0.0,0.0,0.9,0.0,126.57575757575758,0.5,0.0
0,0.2,False,False,0.25,,,0.9,,135.3030303030303,MTD,0.0
1,0.2,False,False,0.25,0.0,0.0,0.9,0.0,135.3030303030303,0.5,0.0
0,0.25,False,False,0.25,,,0.9,,145.13131313131314,MTD,0.0
1,0.25,False,False,0.25,0.0,0.0,0.9,0.0,145.13131313131314,0.5,0.0
0,0.30000000000000004,False,False,0.25,,,0.9,,156.2828282828283,MTD,0.0
1,0.30000000000000004,False,False,0.25,0.0,0.0,0.9,0.0,156.2828282828283,0.5,0.0
0,0.35000000000000003,False,False,0.25,,,0.9,,169.05050505050505,MTD,0.0
1,0.35000000000000003,False,False,0.25,0.0,0.0,0.9,0.0,169.05050505050505,0.5,0.0
0,0.4,False,False,0.25,,,0.9,,183.8080808080808,MTD,0.0
1,0.4,False,False,0.25,0.0,0.0,0.9,0.0,183.8080808080808,0.5,0.0
0,0.45,False,False,0.25,,,0.9,,201.06060606060606,MTD,0.0
1,0.45,False,False,0.25,0.0,0.0,0.9,0.0,201.06060606060606,0.5,0.0
0,0.5,False,False,0.25,,,0.9,,221.53535353535352,MTD,0.0
1,0.5,False,False,0.25,0.0,0.0,0.9,0.0,221.53535353535352,0.5,0.0
0,0.0,False,False,0.25,,,0.9,,115.26262626262626,MTD,0.05
1,0.0,False,False,0.25,0.0,0.0,0.9,0.0,115.26262626262626,0.5,0.05
0,0.05,False,False,0.25,,,0.9,,122.37373737373737,MTD,0.05
1,0.05,False,False,0.25,0.0,0.0,0.9,0.0,122.37373737373737,0.5,0.05
0,0.1,False,False,0.25,,,0.9,,130.27272727272728,MTD,0.05
1,0.1,False,False,0.25,0.0,0.0,0.9,0.0,130.27272727272728,0.5,0.05
