,AbsTimeGained,Cured,IndefiniteControl,InitialTumourSize,NCycles,RFrac,RelTimeGained,TimeToFailure,TreatmentBranch,Cost,TumourId
0,,False,False,0.25,,0.1,,106.0,MTD,0.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,106.0,0.5,0.0,1
2,,False,False,0.25,,0.001,,296.0,MTD,0.0,2
3,19.0,False,False,0.25,2.0,0.001,641.8918918918919,315.0,0.5,0.0,2
4,,False,False,0.75,,0.1,,278.0,MTD,0.0,3
5,0.0,False,False,0.75,0.0,0.1,0.0,278.0,0.5,0.0,3
6,,False,False,0.75,,0.001,,452.0,MTD,0.0,4
7,211.0,False,False,0.75,2.0,0.001,4668.141592920354,663.0,0.5,0.0,4
0,,False,False,0.25,,0.1,,119.0,MTD,10.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,119.0,0.5,10.0,1
2,,False,False,0.25,,0.001,,327.0,MTD,10.0,2
3,25.0,False,False,0.25,2.0,0.001,764.525993883792,352.0,0.5,10.0,2
4,,False,False,0.75,,0.1,,303.0,MTD,10.0,3
5,0.0,False,False,0.75,0.0,0.1,0.0,303.0,0.5,10.0,3
6,,False,False,0.75,,0.001,,491.0,MTD,10.0,4
7,216.0,False,False,0.75,2.0,0.001,4399.185336048879,707.0,0.5,10.0,4
0,,False,False,0.25,,0.1,,136.0,MTD,20.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,136.0,0.5,20.0,1
2,,False,False,0.25,,0.001,,366.0,MTD,20.0,2
3,29.0,False,False,0.25,2.0,0.001,792.3497267759564,395.0,0.5,20.0,2
4,,False,False,0.75,,0.1,,332.0,MTD,20.0,3
5,0.0,False,False,0.75,0.0,0.1,0.0,332.0,0.5,20.0,3
6,,False,False,0.75,,0.001,,539.0,MTD,20.0,4
7,283.0,False,False,0.75,3.0,0.001,5250.463821892394,822.0,0.5,20.0,4
0,,False,False,0.25,,0.1,,157.0,MTD,30.000000000000004,1
1,0.0,False,False,0.25,0.0,0.1,0.0,157.0,0.5,30.000000000000004,1
2,,False,False,0.25,,0.001,,415.0,MTD,30.000000000000004,2
3,39.0,False,False,0.25,3.0,0.001,939.7590361445783,454.0,0.5,30.000000000000004,2
4,,False,False,0.75,,0.1,,367.0,MTD,30.000000000000004,3
5,0.0,False,False,0.75,0.0,0.1,0.0,367.0,0.5,30.000000000000004,3
6,,False,False,0.75,,0.001,,601.0,MTD,30.000000000000004,4
7,330.0,False,False,0.75,3.0,0.001,5490.848585690515,931.0,0.5,30.000000000000004,4
0,,False,False,0.25,,0.1,,184.0,MTD,40.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,184.0,0.5,40.0,1
2,,False,False,0.25,,0.001,,481.0,MTD,40.0,2
3,40.0,False,False,0.25,4.0,0.001,831.6008316008316,521.0,0.5,40.0,2
4,,False,False,0.75,,0.1,,413.0,MTD,40.0,3
5,0.0,False,False,0.75,0.0,0.1,0.0,413.0,0.5,40.0,3
6,,False,False,0.75,,0.001,,684.0,MTD,40.0,4
7,432.0,False,False,0.75,4.0,0.001,6315.78947368421,1116.0,0.5,40.0,4
0,,False,False,0.25,,0.1,,222.0,MTD,50.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,222.0,0.5,50.0,1
2,,False,False,0.25,,0.001,,573.0,MTD,50.0,2
3,64.0,False,False,0.25,4.0,0.001,1116.9284467713787,637.0,0.5,50.0,2
4,,False,False,0.75,,0.1,,473.0,MTD,50.0,3
5,0.0,False,False,0.75,0.0,0.1,0.0,473.0,0.5,50.0,3
6,,False,False,0.75,,0.001,,800.0,MTD,50.0,4
7,435.0,False,False,0.75,4.0,0.001,5437.499999999999,1235.0,0.5,50.0,4
