,AbsTimeGained,Cured,IndefiniteControl,InitialTumourSize,NCycles,RFrac,RelTimeGained,TimeToFailure,TreatmentBranch,Cost,TumourId
0,,False,False,0.25,,0.1,,161.0,MTD,0.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,161.0,0.5,0.0,1
2,,False,False,0.25,,0.001,,394.0,MTD,0.0,2
3,70.0,False,False,0.25,4.0,0.001,1776.6497461928934,464.0,0.5,0.0,2
4,,False,False,0.5,,0.1,,242.0,MTD,0.0,3
5,36.0,False,False,0.5,1.0,0.1,1487.603305785124,278.0,0.5,0.0,3
6,,False,False,0.5,,0.001,,470.0,MTD,0.0,4
7,231.0,False,False,0.5,4.0,0.001,4914.893617021276,701.0,0.5,0.0,4
0,,False,False,0.25,,0.1,,186.0,MTD,10.0,1
1,0.0,False,False,0.25,0.0,0.1,0.0,186.0,0.5,10.0,1
2,,False,False,0.25,,0.001,,454.0,MTD,10.0,2
3,83.0,False,False,0.25,4.0,0.001,1828.193832599119,537.0,0.5,10.0,2
4,,False,False,0.5,,0.1,,284.0,MTD,10.0,3
5,56.0,False,False,0.5,1.0,0.1,1971.8309859154929,340.0,0.5,10.0,3
6,,False,False,0.5,,0.001,,547.0,MTD,10.0,4
7,302.0,False,False,0.5,5.0,0.001,5521.023765996343,849.0,0.5,10.0,4
0,,False,False,0.25,,0.1,,222.0,MTD,20.0,1
1,11.0,False,False,0.25,1.0,0.1,495.4954954954955,233.0,0.5,20.0,1
2,,False,False,0.25,,0.001,,536.0,MTD,20.0,2
3,112.0,False,False,0.25,5.0,0.001,2089.55223880597,648.0,0.5,20.0,2
4,,False,False,0.5,,0.1,,349.0,MTD,20.0,3
5,68.0,False,False,0.5,1.0,0.1,1948.4240687679082,417.0,0.5,20.0,3
6,,False,False,0.5,,0.001,,660.0,MTD,20.0,4
7,446.0,False,False,0.5,7.0,0.001,6757.575757575758,1106.0,0.5,20.0,4
0,,False,False,0.25,,0.1,,273.0,MTD,30.000000000000004,1
1,20.0,False,False,0.25,1.0,0.1,732.6007326007326,293.0,0.5,30.000000000000004,1
2,,False,False,0.25,,0.001,,657.0,MTD,30.000000000000004,2
3,165.0,False,False,0.25,7.0,0.001,2511.415525114155,822.0,0.5,30.000000000000004,2
4,,False,False,0.5,,0.1,,472.0,MTD,30.000000000000004,3
5,75.0,False,False,0.5,1.0,0.1,1588.9830508474577,547.0,0.5,30.000000000000004,3
6,,False,False,0.5,,0.001,,854.0,MTD,30.000000000000004,4
7,624.0,False,False,0.5,9.0,0.001,7306.791569086651,1478.0,0.5,30.000000000000004,4
0,,False,False,0.25,,0.1,,358.0,MTD,40.0,1
1,26.0,False,False,0.25,1.0,0.1,726.2569832402235,384.0,0.5,40.0,1
2,,False,False,0.25,,0.001,,850.0,MTD,40.0,2
3,242.0,False,False,0.25,9.0,0.001,2847.058823529412,1092.0,0.5,40.0,2
4,,False,True,0.5,,0.1,,,MTD,40.0,3
5,,False,True,0.5,,0.1,,,0.5,40.0,3
6,,False,True,0.5,,0.001,,,MTD,40.0,4
7,,False,True,0.5,,0.001,,,0.5,40.0,4
0,,False,False,0.25,,0.1,,523.0,MTD,50.0,1
1,65.0,False,False,0.25,2.0,0.1,1242.82982791587,588.0,0.5,50.0,1
2,,False,False,0.25,,0.001,,1214.0,MTD,50.0,2
3,444.0,False,False,0.25,14.0,0.001,3657.331136738056,1658.0,0.5,50.0,2
4,,False,True,0.5,,0.1,,,MTD,50.0,3
5,,False,True,0.5,,0.1,,,0.5,50.0,3
6,,False,True,0.5,,0.001,,,MTD,50.0,4
7,,False,True,0.5,,0.001,,,0.5,50.0,4
