,AbsTimeGained,Cured,IndefiniteControl,InitialTumourSize,NCycles,RFrac,RelTimeGained,TimeToFailure,TreatmentBranch,Turnover,Cost,Model
0,,False,False,0.35,,0.1,,144.0,MTD,0.1,0.0,rdModel_nsKill
1,0.0,False,False,0.35,0.0,0.1,0.0,144.0,0.5,0.1,0.0,rdModel_nsKill
2,,False,False,0.35,,0.01,,250.0,MTD,0.1,0.0,rdModel_nsKill
3,22.0,False,False,0.35,1.0,0.01,8.799999999999999,272.0,0.5,0.1,0.0,rdModel_nsKill
4,,False,False,0.35,,0.001,,346.0,MTD,0.1,0.0,rdModel_nsKill
5,61.0,False,False,0.35,3.0,0.001,17.63005780346821,407.0,0.5,0.1,0.0,rdModel_nsKill
6,,False,False,0.5,,0.1,,182.0,MTD,0.1,0.0,rdModel_nsKill
7,0.0,False,False,0.5,0.0,0.1,0.0,182.0,0.5,0.1,0.0,rdModel_nsKill
8,,False,False,0.5,,0.01,,286.0,MTD,0.1,0.0,rdModel_nsKill
9,43.0,False,False,0.5,1.0,0.01,15.034965034965033,329.0,0.5,0.1,0.0,rdModel_nsKill
10,,False,False,0.5,,0.001,,382.0,MTD,0.1,0.0,rdModel_nsKill
11,125.0,False,False,0.5,3.0,0.001,32.72251308900523,507.0,0.5,0.1,0.0,rdModel_nsKill
12,,False,False,0.65,,0.1,,252.0,MTD,0.1,0.0,rdModel_nsKill
13,0.0,False,False,0.65,0.0,0.1,0.0,252.0,0.5,0.1,0.0,rdModel_nsKill
14,,False,False,0.65,,0.01,,347.0,MTD,0.1,0.0,rdModel_nsKill
15,133.0,False,False,0.65,2.0,0.01,38.328530259366,480.0,0.5,0.1,0.0,rdModel_nsKill
16,,False,False,0.65,,0.001,,440.0,MTD,0.1,0.0,rdModel_nsKill
17,225.0,False,False,0.65,3.0,0.001,51.13636363636363,665.0,0.5,0.1,0.0,rdModel_nsKill
0,,False,False,0.35,,0.1,,162.0,MTD,0.1,0.1,rdModel_nsKill
1,0.0,False,False,0.35,0.0,0.1,0.0,162.0,0.5,0.1,0.1,rdModel_nsKill
2,,False,False,0.35,,0.01,,279.0,MTD,0.1,0.1,rdModel_nsKill
3,28.0,False,False,0.35,2.0,0.01,10.03584229390681,307.0,0.5,0.1,0.1,rdModel_nsKill
4,,False,False,0.35,,0.001,,387.0,MTD,0.1,0.1,rdModel_nsKill
5,75.0,False,False,0.35,3.0,0.001,19.379844961240313,462.0,0.5,0.1,0.1,rdModel_nsKill
